Achillea filipendulina 'Coronation Gold';30-36 in;18-24 in;24-36 in;3 - 8;Bright Yellow;
Achillea millefolium;2-3 ft; ;;3-9;White;
Achillea millifolium 'Terracotta';2-3 ft;12-18 in;18-24 in;3 - 8;Red Orange;
Agastache 'Blue Fortune';2-3 ft;2-3 ft;3-4 ft;5-9;Lavender-Blue;
Agastache foeniculum;2-4 ft;2-3 ft; ;4-8;Lavender;
Alchemilla mollis;12-18 in;18-30 in;18 in;3-8;Light Green;
Allium 'Millenium';12-18 in;12-18 in;12 in;5 - 8;Purple;
Allium cernuum;1-2 ft;8-10 in; ;4-8;Pink;
Allium lusitanicum 'Summer Beauty';18-24 in;18-24 in;18-24 in;5 - 8;Lavender;
Allium schoenoprasum;12-18 in;12-18 in;12 in;4 - 8;Purple;
Amorpha canascens;1-3 ft;1-3 ft;1-3 ft;2-9;Purple Blue;
Amsonia hubrichtii;4-5 ft;2-3 ft; ;5-9;Blue;
Amsonia illustris;3 ft;3 ft;3-4 ft;5-9;Blue;
Amsonia tabernaemontana;2-3 ft;2-3 ft; ;4-9;Blue;
Amsonia tabernaemontana v. salicifolia;3 ft;2-3 ft; ;3-9;Blue;
Amsonia tabernaemontani 'Grande';2-3 ft;2-3 ft;2 ft;5-9;Blue;
Amsonia tabernemontana 'Blue Ice';15 in;2 ft; ;4-9;Blue;
Andropogon gerardii;5-7 ft;2-3 ft; ;3-8;Green, Tan;
Andropogon virginicus;2-3 ft;2-3 ft;36-48 in;5-8;Green, Tan;
Anemone canadensis;1-2 ft;2-3 ft;18-24 in;3-8;White;
Anemone virginiana;3 ft;1-2 ft;18-24 in;3-8;White;
Antennaria neglecta;4-8 in; ;;3-8;White;
Antennaria plantaginifolia;6-12 in;8-18 in;12-18 in;3-8;White;
Aquilegia canadensis;2 ft;1-2 ft; ;3-8;Red;
Asclepias incarnata;4-5 ft;2-3 ft;3-4 ft;3-8;Pink, Rose;
Asclepias incarnata 'Ice Ballet';3-4 ft;2-3 in;3-4 ft;3-9;White;
Asclepias tuberosa;1-3 ft;1-2 ft;18-24 in;4-10;Orange;
Asclepias verticillata;2 ft;1-2 ft;18-24 in;3-10;White;
Aster azureus (Symphyotrichum oolentangiense);24-36 ft;18-24 in;24-36 in;3 - 8;Light Blue;
Aster cordifolius;2-3 Feet;2-3 ft;2-3 ft;3-8; ;
Aster divaricatus;2-3 Feet;3-4 ft;2-3 ft;3-8;White;
Aster divaricatus 'Eastern Star';1-2 ft;2-3 ft;2-3 ft;3-8;White;
Aster ericoides;1-3 ft;1-2 ft;18 in;3-10;White;
Aster ericoides 'Snow Flurry';6-8 Inches;2-4 Feet; ;3-9;White;
Aster laevis;2-3 ft;2-4 ft;24-36 in;4-8;Blue;
Aster lateriflorus 'Lady in Black';3-4 ft;3 ft;3-5 ft;3-8;White;
Aster macrophyllus;1-3 Feet;2-3 ft;3-4 ft;3-8;Lavender;
Aster macrophyllus 'Twilight';30-36 in;30-36 in;36 in;3-9;Lavender-Blue;
Aster novae-angliae;3-6 ft;2-3 ft;4-6 ft;3-8;Violet;
Aster novae-angliae 'Purple Dome';2 ft;2-3 ft; ;3-8;Violet;
Aster novi-belgii;3-4 ft;3 ft;4-6 ft;4-8;Purple;
Aster oblongifolius 'October Skies';15 in;2 ft;24-36 in;5-8;Blue;
Aster oblongifolius 'Raydons Favorite';3 ft;3 ft;3-6 ft;3-8;Blue;
Aster puniceus;3-6 ft;2-3 ft;4-6 ft;3-8;Light Blue;
Aster spectabilis;1-2 ft;2 ft;3-4 ft;4-8;Violet;
Aster umbellatus;2-5 ft;2-4 ft;3-6 ft;3-8;White;
Astilbe japonica 'Deutschland';18-24 in;18-24 in;18-24 in;4 - 9;White;
Astilbe japonica 'Rheinland';18-24 in;18-24 in;18-24 in; ;Pink;
Astilbe arendsii 'Fanal';12-18 in;9-12 in;12-18 in;3 - 8;Red;
Baptisia australis;3-4 ft;3-4 ft;6-8 ft;4-8;Purple Red;
Baptisia tinctoria;2-3 Feet;2-3 ft;3-6 ft;3-9;Yellow;
Blephilia ciliata;1-2 ft;1-2 ft;2-3 ft;4-8;Pink;
Boltonia asteroides;3-5 ft;2-4 ft;4-6 ft;3-9;White;
Bouteloua curtipendula;1-3 ft;2 ft;3-4 ft;3-9;Green, Tan;
Bouteloua gracilis;9-24 Inches;18-24 Inches;18 in;3-10;Blue Green, Tan;
Calamagrostis brachytricha;2 ft;2 ft;3 ft;4-9;Pink;
Calamagrostis x acutiflora 'Karl Foerster';3-5 ft;1-3 ft; ;5-9;Purple;
Calamintha nepeta 'Blue Cloud';10-12 in;12-18 in;18-24 in;5 - 9;Light Blue;
Calamintha nepeta 'White Cloud';1-2 ft;1-2 ft;18-24 in;5 - 9;White;
Calamintha nepeta ssp nepeta;12-18 in;12-24 in;18-24 in;5 - 7;White;
Callirhoe involucrata;6-12 in;1-3 ft;2-3 ft;3-9;Purple Red;
Caltha palustris;1 ft;1-2 ft;18-24 in;3-7;Yellow;
